,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.5088,0.5684,0.5109,0.5079,0.9496,0.5488,0.9577,0.9581,0.5808,0.5770,0.5093,0.5920,0.5127,0.5090,0.9440,0.5704,0.9515,0.9521,0.5679,0.5658,0.5095,0.5060,0.5113,0.5079,0.9396,0.4872,0.9704,0.9713,0.6154,0.6103
Permuted,0.4039,0.5684,0.2790,0.3712,0.9852,0.8388,0.9577,0.9811,0.5808,0.5843,0.4112,0.5920,0.2813,0.3728,0.9836,0.8476,0.9515,0.9792,0.5679,0.5720,0.3867,0.5060,0.2817,0.3719,0.9896,0.8024,0.9704,0.9870,0.6154,0.6337
Scaled,0.4853,0.5684,0.3861,0.4041,0.9192,0.6028,0.9577,0.9844,0.5808,0.5401,0.4910,0.5920,0.3863,0.4045,0.9396,0.6136,0.9515,0.9810,0.5679,0.5330,0.4649,0.5060,0.3933,0.4062,0.8980,0.5824,0.9704,0.9892,0.6154,0.5552
No Normalization,0.6993,0.5684,0.7084,0.7654,0.9300,0.2444,0.9577,0.9049,0.5808,0.5727,0.6658,0.5920,0.7140,0.7632,0.9092,0.2972,0.9515,0.8865,0.5679,0.5555,0.7843,0.5060,0.7376,0.7854,0.9508,0.1392,0.9704,0.9411,0.6154,0.6074
STL-10,0.5453,0.5684,0.5651,0.5651,0.9372,0.4740,0.9577,0.9503,0.5808,0.5732,0.5417,0.5920,0.5667,0.5661,0.9296,0.5008,0.9515,0.9423,0.5679,0.5609,0.5502,0.5060,0.5670,0.5655,0.9292,0.4136,0.9704,0.9648,0.6154,0.6018
CIFAR100,0.6293,0.5684,0.6610,0.6843,0.8968,0.3348,0.9577,0.9313,0.5808,0.5556,0.6180,0.5920,0.6598,0.6820,0.9052,0.3660,0.9515,0.9199,0.5679,0.5437,0.6640,0.5060,0.6733,0.6909,0.8792,0.2560,0.9704,0.9553,0.6154,0.5872
SVHN,0.8325,0.5684,0.7901,0.8345,0.8344,0.1144,0.9577,0.8829,0.5808,0.5279,0.7877,0.5920,0.7919,0.8336,0.8376,0.1596,0.9515,0.8580,0.5679,0.5135,0.9081,0.5060,0.8211,0.8562,0.8084,0.0512,0.9704,0.9222,0.6154,0.5494
Stanford Dogs,0.6796,0.5684,0.7098,0.7572,0.8748,0.2680,0.9577,0.9122,0.5808,0.5473,0.6646,0.5920,0.7129,0.7578,0.8756,0.2988,0.9515,0.9003,0.5679,0.5364,0.7321,0.5060,0.7196,0.7627,0.8608,0.1852,0.9704,0.9407,0.6154,0.5779
Fake CIFAR-10,0.4953,0.5684,0.4941,0.4895,0.9468,0.5792,0.9577,0.9582,0.5808,0.5729,0.4981,0.5920,0.4944,0.4903,0.9428,0.5964,0.9515,0.9538,0.5679,0.5630,0.4965,0.5060,0.4913,0.4882,0.9408,0.5132,0.9704,0.9717,0.6154,0.6109
AFHQ Dogs,0.6117,0.5684,0.6545,0.7287,0.9440,0.3608,0.9577,0.9098,0.5808,0.5928,0.6058,0.5920,0.6640,0.7328,0.9256,0.3852,0.9515,0.9031,0.5679,0.5843,0.6568,0.5060,0.6496,0.7273,0.9548,0.2644,0.9704,0.9309,0.6154,0.6267
AFHQ Cats,0.6086,0.5684,0.6485,0.7223,0.9592,0.3656,0.9577,0.9094,0.5808,0.6003,0.6009,0.5920,0.6456,0.7214,0.9472,0.3932,0.9515,0.9019,0.5679,0.5910,0.6616,0.5060,0.6366,0.7180,0.9600,0.2588,0.9704,0.9328,0.6154,0.6366
