,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.5858,0.9492,0.6855,0.6263,0.6740,0.6712,0.9940,0.9930,0.8727,0.7965,0.5859,0.9484,0.6880,0.6288,0.6772,0.6704,0.9940,0.9929,0.8746,0.7970,0.5823,0.9536,0.6851,0.6258,0.6704,0.6840,0.9939,0.9926,0.8629,0.7893
Permuted,0.5233,0.9492,0.3534,0.3902,0.8652,0.8648,0.9940,0.9959,0.8727,0.8113,0.5228,0.9484,0.3453,0.3864,0.8672,0.8656,0.9940,0.9959,0.8746,0.8104,0.5232,0.9536,0.3546,0.3907,0.8648,0.8692,0.9939,0.9958,0.8629,0.8058
Scaled,0.5719,0.9492,0.3609,0.3963,0.7108,0.7104,0.9940,0.9983,0.8727,0.7766,0.5776,0.9484,0.3984,0.4092,0.6980,0.6936,0.9940,0.9987,0.8746,0.7878,0.5651,0.9536,0.3460,0.3913,0.7264,0.7340,0.9939,0.9974,0.8629,0.7593
No Normalization,0.6888,0.9492,0.7929,0.6959,0.4336,0.4288,0.9940,0.9919,0.8727,0.7954,0.6953,0.9484,0.8197,0.7320,0.4264,0.4156,0.9940,0.9923,0.8746,0.7995,0.6790,0.9536,0.7885,0.6914,0.4356,0.4508,0.9939,0.9911,0.8629,0.7882
STL-10,0.6336,0.9492,0.7569,0.6847,0.5512,0.5488,0.9940,0.9923,0.8727,0.7839,0.6360,0.9484,0.7670,0.6998,0.5516,0.5428,0.9940,0.9924,0.8746,0.7865,0.6279,0.9536,0.7551,0.6827,0.5528,0.5652,0.9939,0.9918,0.8629,0.7767
CIFAR100,0.6957,0.9492,0.8120,0.7245,0.4180,0.4152,0.9940,0.9918,0.8727,0.7705,0.6955,0.9484,0.8268,0.7455,0.4216,0.4152,0.9940,0.9918,0.8746,0.7705,0.6900,0.9536,0.8100,0.7216,0.4176,0.4284,0.9939,0.9913,0.8629,0.7658
SVHN,0.7399,0.9492,0.8197,0.7006,0.3360,0.3336,0.9940,0.9926,0.8727,0.7564,0.7398,0.9484,0.8364,0.7264,0.3420,0.3336,0.9940,0.9926,0.8746,0.7564,0.7320,0.9536,0.8183,0.6982,0.3360,0.3492,0.9939,0.9918,0.8629,0.7512
Stanford Dogs,0.6761,0.9492,0.8077,0.7406,0.4596,0.4548,0.9940,0.9916,0.8727,0.7790,0.6784,0.9484,0.8199,0.7586,0.4652,0.4496,0.9940,0.9917,0.8746,0.7809,0.6683,0.9536,0.8063,0.7385,0.4556,0.4732,0.9939,0.9910,0.8629,0.7721
Fake CIFAR-10,0.5792,0.9492,0.6797,0.6363,0.6904,0.6896,0.9940,0.9930,0.8727,0.7851,0.5803,0.9484,0.6815,0.6367,0.6928,0.6860,0.9940,0.9931,0.8746,0.7874,0.5770,0.9536,0.6793,0.6358,0.6920,0.6992,0.9939,0.9928,0.8629,0.7791
AFHQ Dogs,0.5998,0.9492,0.7125,0.6654,0.6348,0.6332,0.9940,0.9927,0.8727,0.8154,0.6007,0.9484,0.7202,0.6768,0.6388,0.6304,0.9940,0.9927,0.8746,0.8167,0.5953,0.9536,0.7120,0.6645,0.6360,0.6484,0.9939,0.9923,0.8629,0.8085
AFHQ Cats,0.5674,0.9492,0.7175,0.6893,0.7248,0.7236,0.9940,0.9921,0.8727,0.8214,0.5671,0.9484,0.6983,0.6662,0.7316,0.7240,0.9940,0.9920,0.8746,0.8213,0.5649,0.9536,0.7202,0.6921,0.7228,0.7344,0.9939,0.9918,0.8629,0.8152
