,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6143,0.7964,0.6658,0.6186,0.7088,0.5000,0.9999,0.9999,0.9503,0.8585,0.6074,0.8260,0.6661,0.5950,0.7136,0.5340,0.9999,0.9998,0.9421,0.8483,0.6136,0.7996,0.6657,0.5914,0.7104,0.5036,0.9999,0.9999,0.9495,0.8575
Permuted,0.8054,0.7964,0.8829,0.8836,0.4448,0.1924,0.9999,0.9998,0.9503,0.8099,0.7831,0.8260,0.8818,0.8806,0.4464,0.2288,0.9999,0.9996,0.9421,0.8010,0.8041,0.7996,0.8857,0.8853,0.4408,0.1948,0.9999,0.9998,0.9495,0.8094
Scaled,0.4666,0.7964,0.1684,0.3834,0.9552,0.9104,0.9999,1.0000,0.9503,0.8941,0.4745,0.8260,0.1318,0.3360,0.9584,0.9148,0.9999,1.0000,0.9421,0.8887,0.4672,0.7996,0.1263,0.3307,0.9568,0.9120,0.9999,1.0000,0.9495,0.8922
No Normalization,0.8908,0.7964,0.9276,0.9280,0.3320,0.0976,0.9999,0.9997,0.9503,0.7848,0.8658,0.8260,0.9285,0.9275,0.3228,0.1280,0.9999,0.9994,0.9421,0.7774,0.8896,0.7996,0.9305,0.9296,0.3232,0.0992,0.9999,0.9997,0.9495,0.7845
STL-10,0.6811,0.7964,0.7534,0.6990,0.6076,0.3728,0.9999,0.9999,0.9503,0.8437,0.6724,0.8260,0.7548,0.6842,0.6048,0.4024,0.9999,0.9998,0.9421,0.8360,0.6799,0.7996,0.7540,0.6822,0.6040,0.3764,0.9999,0.9999,0.9495,0.8428
CIFAR100,0.8074,0.7964,0.8768,0.8648,0.4608,0.1900,0.9999,0.9998,0.9503,0.8266,0.7840,0.8260,0.8773,0.8635,0.4612,0.2276,0.9999,0.9995,0.9421,0.8182,0.8051,0.7996,0.8785,0.8647,0.4572,0.1936,0.9999,0.9997,0.9495,0.8258
SVHN,0.7932,0.7964,0.8686,0.8570,0.4856,0.2076,0.9999,0.9998,0.9503,0.8313,0.7717,0.8260,0.8688,0.8539,0.4824,0.2444,0.9999,0.9996,0.9421,0.8231,0.7895,0.7996,0.8699,0.8550,0.4804,0.2132,0.9999,0.9997,0.9495,0.8301
Stanford Dogs,0.7488,0.7964,0.8522,0.8556,0.5368,0.2672,0.9999,0.9998,0.9503,0.8416,0.7328,0.8260,0.8514,0.8529,0.5356,0.3012,0.9999,0.9996,0.9421,0.8340,0.7467,0.7996,0.8536,0.8562,0.5352,0.2712,0.9999,0.9998,0.9495,0.8407
Fake CIFAR-10,0.5878,0.7964,0.6202,0.5801,0.7492,0.5584,0.9999,0.9999,0.9503,0.8670,0.5847,0.8260,0.6199,0.5492,0.7500,0.5868,0.9999,0.9998,0.9421,0.8579,0.5859,0.7996,0.6192,0.5452,0.7484,0.5652,0.9999,0.9999,0.9495,0.8649
AFHQ Dogs,0.6317,0.7964,0.7602,0.7894,0.7408,0.4644,0.9999,0.9998,0.9503,0.8911,0.6184,0.8260,0.7564,0.7835,0.7404,0.5096,0.9999,0.9997,0.9421,0.8812,0.6286,0.7996,0.7610,0.7909,0.7420,0.4724,0.9999,0.9998,0.9495,0.8895
AFHQ Cats,0.6030,0.7964,0.6947,0.6886,0.7616,0.5244,0.9999,0.9999,0.9503,0.8880,0.5949,0.8260,0.6974,0.6909,0.7676,0.5624,0.9999,0.9998,0.9421,0.8784,0.6012,0.7996,0.6939,0.6876,0.7632,0.5304,0.9999,0.9999,0.9495,0.8866
