,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6008,0.8132,0.6552,0.5852,0.7496,0.5404,0.3722,0.3755,0.2278,0.2051,0.6124,0.8044,0.6857,0.6769,0.7104,0.5092,0.3719,0.3791,0.2357,0.2122,0.5989,0.6552,0.6378,0.5766,0.7920,0.4388,0.3939,0.3972,0.2529,0.2190
Permuted,0.8387,0.8132,0.9141,0.9137,0.3616,0.1564,0.3722,0.3051,0.2278,0.1853,0.8057,0.8044,0.8592,0.8259,0.4160,0.1940,0.3719,0.2932,0.2357,0.1826,0.9065,0.6552,0.9251,0.9245,0.3220,0.0676,0.3939,0.3352,0.2529,0.1945
Scaled,0.4486,0.8132,0.0075,0.3074,1.0000,0.9996,0.3722,0.9079,0.2278,0.2245,0.8938,0.8044,0.8938,0.7832,0.9500,0.0956,0.3719,0.7035,0.2357,0.9292,0.3958,0.6552,0.0001,0.3069,1.0000,1.0000,0.3939,0.9076,0.2529,0.0000
No Normalization,0.9040,0.8132,0.9444,0.9418,0.2612,0.0864,0.3722,0.3045,0.2278,0.1818,0.8879,0.8044,0.9240,0.9111,0.2900,0.1016,0.3719,0.2951,0.2357,0.1808,0.9479,0.6552,0.9407,0.9400,0.2800,0.0360,0.3939,0.3420,0.2529,0.1868
STL-10,0.6614,0.8132,0.7380,0.6697,0.6444,0.4164,0.3722,0.3634,0.2278,0.2006,0.6803,0.8044,0.7591,0.7344,0.5972,0.3780,0.3719,0.3699,0.2357,0.2067,0.6518,0.6552,0.7121,0.6540,0.7056,0.3500,0.3939,0.3780,0.2529,0.2093
CIFAR100,0.7957,0.8132,0.8803,0.8665,0.4668,0.2088,0.3722,0.3175,0.2278,0.1951,0.8025,0.8044,0.8640,0.8406,0.4444,0.1980,0.3719,0.3156,0.2357,0.1973,0.8430,0.6552,0.8641,0.8545,0.5376,0.1220,0.3939,0.3443,0.2529,0.2035
SVHN,0.7859,0.8132,0.8725,0.8619,0.5092,0.2216,0.3722,0.3172,0.2278,0.1991,0.7905,0.8044,0.8535,0.8285,0.4720,0.2132,0.3719,0.3175,0.2357,0.2003,0.8413,0.6552,0.8530,0.8514,0.6236,0.1236,0.3939,0.3480,0.2529,0.2079
Stanford Dogs,0.7422,0.8132,0.8607,0.8669,0.5668,0.2824,0.3722,0.3044,0.2278,0.2012,0.7454,0.8044,0.8148,0.7838,0.5272,0.2748,0.3719,0.3025,0.2357,0.2030,0.8353,0.6552,0.8464,0.8598,0.6580,0.1292,0.3939,0.3305,0.2529,0.2155
Fake CIFAR-10,0.5784,0.8132,0.6070,0.5394,0.7864,0.5928,0.3722,0.3883,0.2278,0.2064,0.5878,0.8044,0.6639,0.6659,0.7456,0.5640,0.3719,0.3903,0.2357,0.2158,0.5686,0.6552,0.5905,0.5320,0.8224,0.4972,0.3939,0.4083,0.2529,0.2212
AFHQ Dogs,0.6230,0.8132,0.7815,0.8206,0.8084,0.4920,0.3722,0.3030,0.2278,0.2180,0.6273,0.8044,0.6756,0.6631,0.7492,0.4780,0.3719,0.3021,0.2357,0.2212,0.7345,0.6552,0.7784,0.8241,0.8572,0.2368,0.3939,0.3231,0.2529,0.2402
AFHQ Cats,0.5771,0.8132,0.6630,0.6678,0.8216,0.5960,0.3722,0.3434,0.2278,0.2142,0.5990,0.8044,0.6436,0.6449,0.7784,0.5384,0.3719,0.3492,0.2357,0.2236,0.5792,0.6552,0.6433,0.6585,0.8700,0.4760,0.3939,0.3594,0.2529,0.2293
