,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.5140,0.2864,0.5115,0.5007,0.9544,0.2708,0.9842,0.9852,0.6754,0.6690,0.5096,0.4352,0.5064,0.4992,1.0000,0.4188,0.9568,0.9575,0.6151,0.6085,0.5143,0.2872,0.5082,0.4995,0.9504,0.2712,0.9839,0.9851,0.6752,0.6689
Permuted,0.2671,0.2864,0.1838,0.3405,0.9988,0.7860,0.9842,0.9924,0.6754,0.7889,0.3364,0.4352,0.2108,0.3423,1.0000,0.8584,0.9568,0.9861,0.6151,0.7225,0.2640,0.2872,0.1697,0.3366,0.9996,0.8008,0.9839,0.9914,0.6752,0.7775
Scaled,0.2241,0.2864,0.0078,0.3078,1.0000,0.9916,0.9842,0.9997,0.6754,0.7301,0.3047,0.4352,0.0088,0.3021,1.0000,0.9932,0.9568,0.9996,0.6151,0.6848,0.2244,0.2872,0.0063,0.3075,1.0000,0.9924,0.9839,0.9997,0.6752,0.7084
No Normalization,0.9611,0.2864,0.7037,0.7602,0.8852,0.0116,0.9842,0.9657,0.6754,0.6167,0.6926,0.4352,0.6465,0.7355,1.0000,0.1932,0.9568,0.8712,0.6151,0.5607,0.9716,0.2872,0.7707,0.8045,0.8216,0.0084,0.9839,0.9713,0.6752,0.6177
STL-10,0.5437,0.2864,0.5393,0.5435,0.9508,0.2404,0.9842,0.9815,0.6754,0.6623,0.5362,0.4352,0.5351,0.5446,0.9996,0.3764,0.9568,0.9533,0.6151,0.6097,0.5439,0.2872,0.5372,0.5427,0.9492,0.2408,0.9839,0.9812,0.6752,0.6622
CIFAR100,0.7389,0.2864,0.6511,0.6658,0.8996,0.1012,0.9842,0.9793,0.6754,0.6199,0.6554,0.4352,0.6172,0.6618,1.0000,0.2288,0.9568,0.9322,0.6151,0.5744,0.7433,0.2872,0.6646,0.6740,0.8944,0.0992,0.9839,0.9796,0.6752,0.6207
SVHN,0.9849,0.2864,0.7957,0.8330,0.8060,0.0044,0.9842,0.9691,0.6754,0.5330,0.9213,0.4352,0.7075,0.8304,0.9992,0.0372,0.9568,0.8898,0.6151,0.5212,0.9822,0.2872,0.8054,0.8387,0.7636,0.0052,0.9839,0.9651,0.6752,0.5326
Stanford Dogs,0.7817,0.2864,0.6577,0.6831,0.9100,0.0800,0.9842,0.9776,0.6754,0.6261,0.6733,0.4352,0.6281,0.6830,1.0000,0.2112,0.9568,0.9275,0.6151,0.5810,0.7796,0.2872,0.6641,0.6883,0.9136,0.0812,0.9839,0.9768,0.6752,0.6257
Fake CIFAR-10,0.4701,0.2864,0.4828,0.4754,0.9604,0.3228,0.9842,0.9863,0.6754,0.6702,0.4890,0.4352,0.4817,0.4745,1.0000,0.4548,0.9568,0.9624,0.6151,0.6137,0.4702,0.2872,0.4778,0.4734,0.9564,0.3236,0.9839,0.9860,0.6752,0.6700
AFHQ Dogs,0.7982,0.2864,0.6436,0.6899,0.9340,0.0724,0.9842,0.9724,0.6754,0.6466,0.6783,0.4352,0.6329,0.7012,1.0000,0.2064,0.9568,0.9277,0.6151,0.6032,0.7978,0.2872,0.6331,0.6857,0.9516,0.0728,0.9839,0.9719,0.6752,0.6465
AFHQ Cats,0.6539,0.2864,0.5615,0.6231,0.9548,0.1516,0.9842,0.9722,0.6754,0.6937,0.5772,0.4352,0.5807,0.6399,1.0000,0.3188,0.9568,0.9378,0.6151,0.6415,0.6463,0.2872,0.5492,0.6165,0.9668,0.1572,0.9839,0.9710,0.6752,0.6921
