,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6936,0.6392,0.7526,0.6679,0.5400,0.2824,0.9092,0.9122,0.6673,0.4846,0.6887,0.6752,0.7565,0.6696,0.5380,0.3052,0.8956,0.9021,0.6601,0.4808,0.6802,0.5376,0.7346,0.6533,0.6168,0.2528,0.9252,0.9224,0.6976,0.4988
Permuted,0.8135,0.6404,0.8420,0.8471,0.5616,0.1468,0.9075,0.8393,0.6670,0.5365,0.7625,0.6768,0.8208,0.8304,0.6204,0.2108,0.8963,0.8082,0.6623,0.5181,0.8694,0.5352,0.8471,0.8553,0.5984,0.0804,0.9237,0.8753,0.6958,0.5531
Scaled,1.0000,0.6340,1.0000,1.0000,0.0000,0.0000,0.9062,0.0000,0.6660,0.2044,1.0000,0.6800,0.9943,0.9963,0.0000,0.0000,0.8964,0.0000,0.6570,0.2044,1.0000,0.5324,1.0000,1.0000,0.0000,0.0000,0.9242,0.0000,0.6996,0.2042
No Normalization,0.9877,0.6404,0.9675,0.9706,0.1928,0.0080,0.9058,0.8632,0.6662,0.4392,0.9786,0.6776,0.9550,0.9605,0.2880,0.0148,0.8969,0.7736,0.6579,0.4377,0.9940,0.5336,0.9620,0.9676,0.2188,0.0032,0.9233,0.8888,0.6982,0.4386
STL-10,0.7735,0.6380,0.8338,0.7840,0.4548,0.1868,0.9060,0.8922,0.6694,0.4667,0.7825,0.6808,0.8420,0.7864,0.4248,0.1892,0.8950,0.8856,0.6589,0.4623,0.7839,0.5428,0.8137,0.7697,0.5324,0.1496,0.9253,0.9101,0.7019,0.4786
CIFAR100,0.9362,0.6400,0.9422,0.9284,0.2224,0.0436,0.9066,0.8646,0.6693,0.4074,0.9257,0.6776,0.9396,0.9252,0.2248,0.0544,0.8969,0.8324,0.6604,0.4067,0.9435,0.5412,0.9317,0.9210,0.2752,0.0324,0.9234,0.8865,0.7015,0.4143
SVHN,0.9740,0.6288,0.9670,0.9649,0.1508,0.0168,0.9076,0.8491,0.6655,0.3914,0.9599,0.6804,0.9621,0.9601,0.1708,0.0284,0.8954,0.8124,0.6622,0.3898,0.9806,0.5448,0.9587,0.9587,0.1976,0.0108,0.9225,0.8856,0.6995,0.3962
Stanford Dogs,0.8662,0.6372,0.8955,0.8707,0.3388,0.0984,0.9068,0.8714,0.6677,0.4378,0.8545,0.6788,0.8944,0.8677,0.3292,0.1156,0.8953,0.8581,0.6591,0.4311,0.8773,0.5376,0.8873,0.8656,0.3772,0.0752,0.9231,0.9001,0.6998,0.4467
Fake CIFAR-10,0.6405,0.6336,0.6880,0.6007,0.6124,0.3556,0.9058,0.9208,0.6673,0.5019,0.6423,0.6752,0.6978,0.6072,0.6004,0.3760,0.8954,0.9155,0.6566,0.5010,0.6218,0.5320,0.6684,0.5844,0.6916,0.3236,0.9248,0.9326,0.7011,0.5187
AFHQ Dogs,0.7934,0.6360,0.8484,0.8203,0.4460,0.1656,0.9062,0.8732,0.6731,0.4785,0.7820,0.6700,0.8475,0.8136,0.4408,0.1868,0.8971,0.8633,0.6601,0.4729,0.8200,0.5448,0.8358,0.8134,0.5232,0.1196,0.9237,0.8981,0.7000,0.4948
AFHQ Cats,0.7041,0.6452,0.7688,0.7252,0.5736,0.2712,0.9055,0.8944,0.6729,0.5087,0.6924,0.6780,0.7657,0.7172,0.5668,0.3012,0.8966,0.8799,0.6584,0.5001,0.7065,0.5420,0.7568,0.7193,0.6360,0.2252,0.9243,0.9125,0.6997,0.5260
