,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.7972,0.9448,0.8710,0.7754,0.2456,0.2404,0.9928,0.9929,0.9896,0.8136,0.7614,0.9944,0.8905,0.8089,0.2276,0.3116,0.9927,0.9921,0.9878,0.7954,0.7960,0.9456,0.8702,0.7742,0.2464,0.2424,0.9928,0.9929,0.9896,0.8131
Permuted,0.8165,0.9448,0.9280,0.9042,0.2212,0.2124,0.9928,0.9919,0.9896,0.8097,0.7713,0.9944,0.9434,0.9267,0.1896,0.2948,0.9927,0.9913,0.9878,0.7887,0.8132,0.9456,0.9270,0.9029,0.2236,0.2172,0.9928,0.9919,0.9896,0.8086
Scaled,0.5044,0.9448,0.0740,0.3217,0.9288,0.9284,0.9928,0.9999,0.9896,0.8486,0.5205,0.9944,0.0939,0.3259,0.9128,0.9160,0.9927,0.9999,0.9878,0.8701,0.5028,0.9456,0.0696,0.3207,0.9352,0.9352,0.9928,0.9998,0.9896,0.8339
No Normalization,0.9672,0.9448,0.9874,0.9797,0.0332,0.0320,0.9928,0.9922,0.9896,0.7023,0.9587,0.9944,0.9912,0.9863,0.0260,0.0428,0.9927,0.9915,0.9878,0.6991,0.9665,0.9456,0.9872,0.9794,0.0332,0.0328,0.9928,0.9922,0.9896,0.7021
STL-10,0.8518,0.9448,0.9181,0.8476,0.1660,0.1644,0.9928,0.9927,0.9896,0.7787,0.8287,0.9944,0.9306,0.8703,0.1512,0.2056,0.9927,0.9920,0.9878,0.7677,0.8513,0.9456,0.9176,0.8468,0.1664,0.1652,0.9928,0.9927,0.9896,0.7785
CIFAR100,0.9517,0.9448,0.9787,0.9612,0.0496,0.0480,0.9928,0.9924,0.9896,0.7080,0.9385,0.9944,0.9852,0.9760,0.0400,0.0652,0.9927,0.9917,0.9878,0.7028,0.9509,0.9456,0.9784,0.9607,0.0512,0.0488,0.9928,0.9924,0.9896,0.7078
SVHN,0.9805,0.9448,0.9911,0.9802,0.0196,0.0188,0.9928,0.9926,0.9896,0.7063,0.9707,0.9944,0.9932,0.9852,0.0164,0.0300,0.9927,0.9913,0.9878,0.7030,0.9801,0.9456,0.9910,0.9800,0.0196,0.0192,0.9928,0.9925,0.9896,0.7062
Stanford Dogs,0.9425,0.9448,0.9727,0.9482,0.0596,0.0576,0.9928,0.9926,0.9896,0.7348,0.9252,0.9944,0.9796,0.9628,0.0536,0.0804,0.9927,0.9917,0.9878,0.7284,0.9415,0.9456,0.9724,0.9476,0.0596,0.0588,0.9928,0.9925,0.9896,0.7344
Fake CIFAR-10,0.7585,0.9448,0.8367,0.7254,0.3084,0.3008,0.9928,0.9929,0.9896,0.8238,0.7244,0.9944,0.8590,0.7630,0.2844,0.3784,0.9927,0.9922,0.9878,0.8031,0.7562,0.9456,0.8358,0.7243,0.3088,0.3048,0.9928,0.9929,0.9896,0.8228
AFHQ Dogs,0.9078,0.9448,0.9588,0.9220,0.0988,0.0960,0.9928,0.9924,0.9896,0.8045,0.8794,0.9944,0.9683,0.9426,0.0832,0.1364,0.9927,0.9915,0.9878,0.7958,0.9064,0.9456,0.9584,0.9214,0.0984,0.0976,0.9928,0.9923,0.9896,0.8041
AFHQ Cats,0.7942,0.9448,0.8617,0.7495,0.2512,0.2448,0.9928,0.9930,0.9896,0.8468,0.7718,0.9944,0.8905,0.8015,0.2220,0.2940,0.9927,0.9924,0.9878,0.8368,0.7920,0.9456,0.8605,0.7477,0.2528,0.2484,0.9928,0.9930,0.9896,0.8461
