,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6735,0.9232,0.7750,0.7947,0.4828,0.4476,1.0000,1.0000,0.9959,0.8873,0.6384,0.9804,0.7714,0.7556,0.4808,0.5552,1.0000,0.9999,0.9846,0.8601,0.6735,0.9232,0.7650,0.6944,0.4852,0.4476,1.0000,1.0000,0.9959,0.8873
Permuted,0.6124,0.9232,0.7507,0.7846,0.6436,0.5844,1.0000,1.0000,0.9959,0.9323,0.5708,0.9804,0.7785,0.7866,0.6444,0.7372,1.0000,0.9999,0.9846,0.8931,0.6127,0.9232,0.7871,0.7933,0.6456,0.5836,1.0000,1.0000,0.9959,0.9324
Scaled,0.4804,0.9232,0.3322,0.6159,0.9988,0.9984,1.0000,1.0000,0.9959,0.8926,0.4954,0.9804,0.2134,0.5115,0.9988,0.9988,1.0000,1.0000,0.9846,0.8568,0.4804,0.9232,0.0651,0.3696,0.9988,0.9984,1.0000,1.0000,0.9959,0.8926
No Normalization,0.9133,0.9232,0.9739,0.9744,0.1312,0.0876,1.0000,1.0000,0.9959,0.8788,0.7989,0.9804,0.9750,0.9760,0.1336,0.2468,1.0000,0.9998,0.9846,0.8533,0.9148,0.9232,0.9761,0.9770,0.1316,0.0860,1.0000,1.0000,0.9959,0.8790
STL-10,0.7386,0.9232,0.8415,0.8425,0.3716,0.3268,1.0000,1.0000,0.9959,0.8842,0.6793,0.9804,0.8454,0.8218,0.3692,0.4628,1.0000,0.9999,0.9846,0.8549,0.7383,0.9232,0.8445,0.7885,0.3724,0.3272,1.0000,1.0000,0.9959,0.8841
CIFAR100,0.8618,0.9232,0.9453,0.9400,0.1836,0.1480,1.0000,1.0000,0.9959,0.8559,0.7919,0.9804,0.9490,0.9400,0.1828,0.2576,1.0000,0.9999,0.9846,0.8346,0.8625,0.9232,0.9503,0.9382,0.1848,0.1472,1.0000,1.0000,0.9959,0.8560
SVHN,0.9359,0.9232,0.9787,0.9771,0.0844,0.0632,1.0000,1.0000,0.9959,0.8393,0.8682,0.9804,0.9801,0.9783,0.0836,0.1488,1.0000,0.9998,0.9846,0.8232,0.9363,0.9232,0.9806,0.9785,0.0844,0.0628,1.0000,1.0000,0.9959,0.8394
Stanford Dogs,0.8275,0.9232,0.9224,0.9163,0.2340,0.1924,1.0000,1.0000,0.9959,0.8739,0.7516,0.9804,0.9274,0.9139,0.2312,0.3240,1.0000,0.9999,0.9846,0.8494,0.8275,0.9232,0.9290,0.9111,0.2352,0.1924,1.0000,1.0000,0.9959,0.8739
Fake CIFAR-10,0.6413,0.9232,0.7260,0.7642,0.5520,0.5164,1.0000,1.0000,0.9959,0.8989,0.6103,0.9804,0.7132,0.7113,0.5504,0.6260,1.0000,0.9999,0.9846,0.8694,0.6411,0.9232,0.7027,0.6354,0.5532,0.5168,1.0000,1.0000,0.9959,0.8988
AFHQ Dogs,0.7610,0.9232,0.8802,0.8772,0.3352,0.2900,1.0000,1.0000,0.9959,0.8922,0.6969,0.9804,0.8906,0.8760,0.3308,0.4264,1.0000,0.9999,0.9846,0.8666,0.7607,0.9232,0.8935,0.8736,0.3368,0.2904,1.0000,1.0000,0.9959,0.8921
AFHQ Cats,0.6727,0.9232,0.7946,0.8095,0.4952,0.4492,1.0000,1.0000,0.9959,0.9053,0.6324,0.9804,0.8011,0.7860,0.4916,0.5700,1.0000,0.9999,0.9846,0.8787,0.6723,0.9232,0.8029,0.7574,0.4960,0.4500,1.0000,1.0000,0.9959,0.9051
