,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6496,0.9076,0.7361,0.6426,0.5664,0.4896,0.6967,0.6812,0.3476,0.2782,0.6793,0.9116,0.8035,0.7446,0.4812,0.4304,0.6901,0.6966,0.3996,0.3085,0.6347,0.8444,0.7086,0.6268,0.6752,0.4860,0.7161,0.6793,0.3841,0.2829
Permuted,0.5998,0.9076,0.7909,0.8087,0.7004,0.6056,0.6967,0.5577,0.3476,0.3087,0.6077,0.9116,0.6438,0.5800,0.6516,0.5884,0.6901,0.5554,0.3996,0.3223,0.6049,0.8444,0.7682,0.7989,0.8128,0.5516,0.7161,0.5686,0.3841,0.3253
Scaled,0.4758,0.9076,0.0014,0.3070,1.0000,1.0000,0.6967,0.9990,0.3476,0.0000,0.4775,0.9116,0.8042,0.8967,0.9980,0.9976,0.6901,0.9998,0.3996,0.6671,0.4578,0.8444,0.0006,0.3069,1.0000,1.0000,0.7161,0.9990,0.3841,0.0000
No Normalization,0.9659,0.9076,0.9862,0.9866,0.0716,0.0320,0.6967,0.4735,0.3476,0.2450,0.9015,0.9116,0.9503,0.9144,0.1304,0.0996,0.6901,0.3938,0.3996,0.2367,0.9874,0.8444,0.9860,0.9870,0.0640,0.0108,0.7161,0.5555,0.3841,0.2490
STL-10,0.7042,0.9076,0.8198,0.7638,0.4668,0.3812,0.6967,0.6325,0.3476,0.2728,0.7371,0.9116,0.8446,0.7836,0.3692,0.3252,0.6901,0.6460,0.3996,0.2961,0.6890,0.8444,0.7904,0.7449,0.5904,0.3812,0.7161,0.6269,0.3841,0.2763
CIFAR100,0.8520,0.9076,0.9408,0.9276,0.2308,0.1576,0.6967,0.5482,0.3476,0.2551,0.8603,0.9116,0.9269,0.8794,0.1816,0.1480,0.6901,0.5273,0.3996,0.2620,0.8464,0.8444,0.9180,0.9093,0.3528,0.1532,0.7161,0.5409,0.3841,0.2580
SVHN,0.9153,0.9076,0.9717,0.9699,0.1364,0.0840,0.6967,0.5027,0.3476,0.2414,0.9367,0.9116,0.9718,0.9606,0.0832,0.0616,0.6901,0.4953,0.3996,0.2482,0.9006,0.8444,0.9524,0.9534,0.2424,0.0932,0.7161,0.4806,0.3841,0.2411
Stanford Dogs,0.7889,0.9076,0.9059,0.8888,0.3292,0.2428,0.6967,0.5661,0.3476,0.2690,0.8321,0.9116,0.9114,0.8710,0.2300,0.1840,0.6901,0.5777,0.3996,0.2878,0.7676,0.8444,0.8717,0.8629,0.4972,0.2556,0.7161,0.5499,0.3841,0.2695
Fake CIFAR-10,0.6131,0.9076,0.6702,0.5785,0.6420,0.5728,0.6967,0.7075,0.3476,0.2848,0.6489,0.9116,0.7768,0.7291,0.5424,0.4932,0.6901,0.7329,0.3996,0.3265,0.5957,0.8444,0.6420,0.5643,0.7392,0.5732,0.7161,0.7036,0.3841,0.2897
AFHQ Dogs,0.7162,0.9076,0.8656,0.8526,0.4680,0.3596,0.6967,0.5636,0.3476,0.2871,0.7661,0.9116,0.8607,0.8004,0.3376,0.2784,0.6901,0.5805,0.3996,0.3117,0.6972,0.8444,0.8266,0.8272,0.6344,0.3668,0.7161,0.5530,0.3841,0.2900
AFHQ Cats,0.6466,0.9076,0.7775,0.7432,0.5944,0.4960,0.6967,0.6195,0.3476,0.2930,0.6753,0.9116,0.7808,0.7196,0.5008,0.4384,0.6901,0.6277,0.3996,0.3201,0.6405,0.8444,0.7515,0.7299,0.7096,0.4740,0.7161,0.6244,0.3841,0.3023
