,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6254,0.5108,0.6758,0.6104,0.7212,0.3060,0.9997,0.9997,0.9495,0.8296,0.6282,0.7264,0.6755,0.6068,0.7080,0.4300,0.9983,0.9984,0.9137,0.7936,0.6220,0.5036,0.6747,0.6008,0.7148,0.3060,0.9997,0.9997,0.9502,0.8296
Permuted,0.3803,0.5108,0.2312,0.3686,0.9412,0.8324,0.9997,0.9999,0.9495,0.8569,0.4506,0.7264,0.2311,0.3615,0.9364,0.8856,0.9983,0.9996,0.9137,0.7928,0.3772,0.5036,0.2298,0.3501,0.9376,0.8316,0.9997,0.9999,0.9502,0.8576
Scaled,0.3394,0.5108,0.0257,0.3275,0.9988,0.9940,0.9997,1.0000,0.9495,0.9133,0.4216,0.7264,0.0180,0.3197,0.9988,0.9964,0.9983,1.0000,0.9137,0.8578,0.3363,0.5036,0.0063,0.3079,0.9988,0.9940,0.9997,1.0000,0.9502,0.9133
No Normalization,0.9977,0.5108,0.9722,0.9751,0.1664,0.0012,0.9997,0.9987,0.9495,0.6224,0.9806,0.7264,0.9725,0.9750,0.1364,0.0144,0.9983,0.9922,0.9137,0.6174,0.9992,0.5036,0.9786,0.9798,0.1236,0.0004,0.9997,0.9994,0.9502,0.6227
STL-10,0.6990,0.5108,0.7471,0.6889,0.6460,0.2200,0.9997,0.9996,0.9495,0.8116,0.6799,0.7264,0.7470,0.6863,0.6316,0.3420,0.9983,0.9979,0.9137,0.7776,0.6998,0.5036,0.7463,0.6836,0.6388,0.2160,0.9997,0.9997,0.9502,0.8125
CIFAR100,0.7902,0.5108,0.8105,0.7836,0.5916,0.1356,0.9997,0.9996,0.9495,0.8054,0.7370,0.7264,0.8106,0.7829,0.5732,0.2592,0.9983,0.9971,0.9137,0.7739,0.7888,0.5036,0.8111,0.7841,0.5808,0.1348,0.9997,0.9996,0.9502,0.8056
SVHN,0.9410,0.5108,0.9148,0.9109,0.3868,0.0320,0.9997,0.9994,0.9495,0.7361,0.8876,0.7264,0.9152,0.9108,0.3568,0.0920,0.9983,0.9956,0.9137,0.7190,0.9424,0.5036,0.9184,0.9134,0.3536,0.0308,0.9997,0.9995,0.9502,0.7364
Stanford Dogs,0.7801,0.5108,0.8025,0.7734,0.6068,0.1440,0.9997,0.9996,0.9495,0.8113,0.7323,0.7264,0.8025,0.7724,0.5916,0.2656,0.9983,0.9973,0.9137,0.7809,0.7791,0.5036,0.8028,0.7730,0.5980,0.1428,0.9997,0.9996,0.9502,0.8115
Fake CIFAR-10,0.5871,0.5108,0.6344,0.5736,0.7464,0.3592,0.9997,0.9997,0.9495,0.8397,0.5993,0.7264,0.6342,0.5696,0.7436,0.4856,0.9983,0.9985,0.9137,0.8015,0.5856,0.5036,0.6325,0.5607,0.7500,0.3564,0.9997,0.9998,0.9502,0.8403
AFHQ Dogs,0.7597,0.5108,0.7808,0.7523,0.6420,0.1616,0.9997,0.9996,0.9495,0.8260,0.6998,0.7264,0.7812,0.7531,0.6192,0.3116,0.9983,0.9972,0.9137,0.7893,0.7607,0.5036,0.7803,0.7521,0.6300,0.1584,0.9997,0.9996,0.9502,0.8267
AFHQ Cats,0.7335,0.5108,0.7663,0.7361,0.6536,0.1856,0.9997,0.9996,0.9495,0.8255,0.6955,0.7264,0.7659,0.7349,0.6432,0.3180,0.9983,0.9975,0.9137,0.7927,0.7341,0.5036,0.7652,0.7338,0.6460,0.1824,0.9997,0.9997,0.9502,0.8262
