,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.5991,0.5732,0.6286,0.5686,0.7924,0.3836,0.6232,0.6399,0.3980,0.3456,0.6314,0.6948,0.7014,0.6474,0.6688,0.4056,0.5734,0.6107,0.4264,0.3599,0.5443,0.6116,0.5606,0.5319,0.9040,0.5120,0.6119,0.5876,0.3959,0.3277
Permuted,0.4169,0.5700,0.2873,0.3685,0.9356,0.7972,0.6271,0.7476,0.4019,0.3668,0.4544,0.6908,0.4580,0.4922,0.9268,0.8296,0.5762,0.7317,0.4246,0.3763,0.4306,0.6120,0.3034,0.3757,0.9500,0.8092,0.6112,0.7405,0.3955,0.3748
Scaled,0.3711,0.5764,0.0756,0.3167,1.0000,0.9768,0.6231,0.8975,0.4020,0.4409,0.4523,0.6852,0.6566,0.7703,0.9060,0.8296,0.5679,0.9461,0.4227,0.5931,0.3817,0.6172,0.0281,0.3086,1.0000,0.9996,0.6103,0.8867,0.3974,0.3650
No Normalization,0.9972,0.5688,0.9886,0.9896,0.0544,0.0016,0.6226,0.4225,0.3991,0.2181,0.9438,0.6984,0.9303,0.9369,0.3564,0.0416,0.5733,0.2881,0.4254,0.2160,1.0000,0.6116,0.9881,0.9895,0.0672,0.0000,0.6131,0.0000,0.3962,0.2205
STL-10,0.6584,0.5760,0.6983,0.6436,0.7296,0.2988,0.6235,0.6131,0.3960,0.3414,0.6791,0.6940,0.7473,0.6864,0.6036,0.3280,0.5717,0.5686,0.4221,0.3482,0.5800,0.6104,0.6193,0.5973,0.8772,0.4420,0.6128,0.5438,0.3935,0.3237
CIFAR100,0.7581,0.5680,0.7886,0.7645,0.6264,0.1812,0.6261,0.5709,0.4010,0.3269,0.7466,0.6964,0.7891,0.7267,0.5648,0.2364,0.5689,0.5032,0.4242,0.3283,0.6858,0.6224,0.7218,0.7230,0.8228,0.2852,0.6121,0.5095,0.3965,0.3139
SVHN,0.9166,0.5756,0.9099,0.9020,0.3688,0.0524,0.6259,0.5396,0.4022,0.2865,0.8595,0.6924,0.8757,0.8481,0.4652,0.1132,0.5740,0.4253,0.4294,0.2807,0.8695,0.6076,0.8744,0.8737,0.5180,0.0912,0.6121,0.4789,0.3963,0.2794
Stanford Dogs,0.7381,0.5636,0.7717,0.7469,0.6968,0.2000,0.6261,0.5775,0.3984,0.3344,0.7323,0.6840,0.7918,0.7294,0.5260,0.2500,0.5736,0.5255,0.4237,0.3375,0.6421,0.6164,0.6837,0.6901,0.8868,0.3436,0.6132,0.5028,0.3969,0.3233
Fake CIFAR-10,0.5457,0.5732,0.5717,0.5210,0.8244,0.4772,0.6261,0.6540,0.3985,0.3531,0.5969,0.7000,0.6569,0.6104,0.7228,0.4728,0.5704,0.6335,0.4215,0.3734,0.5091,0.6064,0.5040,0.4885,0.9216,0.5848,0.6143,0.6077,0.3923,0.3395
AFHQ Dogs,0.6662,0.5676,0.7063,0.6946,0.7748,0.2844,0.6258,0.5771,0.3980,0.3552,0.6826,0.6952,0.7451,0.6880,0.6232,0.3232,0.5742,0.5370,0.4243,0.3601,0.5718,0.6116,0.6185,0.6406,0.9104,0.4580,0.6132,0.5141,0.3957,0.3360
AFHQ Cats,0.6689,0.5632,0.7120,0.6915,0.7640,0.2788,0.6248,0.5794,0.3989,0.3489,0.6712,0.6932,0.7396,0.6775,0.6344,0.3396,0.5717,0.5437,0.4237,0.3529,0.6040,0.6132,0.6528,0.6659,0.8812,0.4020,0.6142,0.5323,0.3934,0.3342
