,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6534,0.8748,0.7203,0.7418,0.4872,0.4640,1.0000,1.0000,1.0000,0.9245,0.6248,1.0000,0.7157,0.6986,0.4848,0.6004,1.0000,1.0000,0.0000,0.8987,0.6551,0.8852,0.7094,0.6358,0.4876,0.4660,1.0000,1.0000,1.0000,0.9242
Permuted,0.5002,0.8748,0.4014,0.6069,0.8848,0.8740,1.0000,1.0000,1.0000,0.9294,0.5217,1.0000,0.3396,0.5234,0.8844,0.9168,1.0000,1.0000,0.0000,0.8932,0.5028,0.8852,0.2891,0.4131,0.8848,0.8752,1.0000,1.0000,1.0000,0.9288
Scaled,0.4672,0.8748,0.2871,0.5765,0.9976,0.9976,1.0000,1.0000,1.0000,0.8329,0.5005,1.0000,0.1850,0.4836,0.9976,0.9980,1.0000,1.0000,0.0000,0.7995,0.4702,0.8852,0.0576,0.3597,0.9976,0.9976,1.0000,1.0000,1.0000,0.8329
No Normalization,0.9639,0.8748,0.9891,0.9870,0.0440,0.0328,1.0000,1.0000,1.0000,0.8419,0.8929,1.0000,0.9894,0.9875,0.0444,0.1200,1.0000,0.9999,0.0000,0.8263,0.9630,0.8852,0.9899,0.9883,0.0432,0.0340,1.0000,1.0000,1.0000,0.8417
STL-10,0.6912,0.8748,0.7736,0.7767,0.4184,0.3908,1.0000,1.0000,1.0000,0.9152,0.6475,1.0000,0.7748,0.7454,0.4164,0.5444,1.0000,1.0000,0.0000,0.8866,0.6907,0.8852,0.7748,0.7062,0.4188,0.3964,1.0000,1.0000,1.0000,0.9144
CIFAR100,0.7472,0.8748,0.8433,0.8314,0.3232,0.2960,1.0000,1.0000,1.0000,0.9095,0.6844,1.0000,0.8484,0.8164,0.3220,0.4612,1.0000,1.0000,0.0000,0.8819,0.7461,0.8852,0.8501,0.7995,0.3228,0.3012,1.0000,1.0000,1.0000,0.9089
SVHN,0.8696,0.8748,0.9409,0.9283,0.1532,0.1312,1.0000,1.0000,1.0000,0.8930,0.7783,1.0000,0.9448,0.9292,0.1532,0.2848,1.0000,0.9999,0.0000,0.8700,0.8682,0.8852,0.9459,0.9276,0.1524,0.1344,1.0000,1.0000,1.0000,0.8926
Stanford Dogs,0.7421,0.8748,0.8352,0.8242,0.3304,0.3040,1.0000,1.0000,1.0000,0.9066,0.6818,1.0000,0.8405,0.8079,0.3292,0.4668,1.0000,1.0000,0.0000,0.8781,0.7419,0.8852,0.8412,0.7854,0.3308,0.3080,1.0000,1.0000,1.0000,0.9060
Fake CIFAR-10,0.6142,0.8748,0.6636,0.7103,0.5792,0.5496,1.0000,1.0000,1.0000,0.9224,0.5954,1.0000,0.6531,0.6579,0.5760,0.6796,1.0000,1.0000,0.0000,0.8909,0.6142,0.8852,0.6449,0.5865,0.5796,0.5560,1.0000,1.0000,1.0000,0.9212
AFHQ Dogs,0.6925,0.8748,0.7834,0.7847,0.4276,0.3884,1.0000,1.0000,1.0000,0.9194,0.6445,1.0000,0.7889,0.7615,0.4232,0.5516,1.0000,1.0000,0.0000,0.8901,0.6911,0.8852,0.7913,0.7375,0.4268,0.3956,1.0000,1.0000,1.0000,0.9184
AFHQ Cats,0.6895,0.8748,0.7797,0.7820,0.4248,0.3940,1.0000,1.0000,1.0000,0.9183,0.6391,1.0000,0.7832,0.7554,0.4264,0.5648,1.0000,1.0000,0.0000,0.8862,0.6901,0.8852,0.7854,0.7282,0.4248,0.3976,1.0000,1.0000,1.0000,0.9178
