,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6248,0.7200,0.6702,0.5883,0.6552,0.4324,0.8144,0.8349,0.5439,0.4405,0.6556,0.8872,0.7438,0.6738,0.4976,0.4660,0.7551,0.8026,0.6096,0.4439,0.5798,0.6508,0.6145,0.5621,0.8340,0.4716,0.8300,0.8080,0.5685,0.4353
Permuted,0.4594,0.7200,0.2808,0.3662,0.9176,0.8472,0.8144,0.9144,0.5439,0.4562,0.5048,0.8872,0.5093,0.5185,0.8852,0.8704,0.7551,0.9024,0.6096,0.4545,0.4368,0.6508,0.2795,0.3661,0.9472,0.8392,0.8300,0.9148,0.5685,0.4767
Scaled,0.4190,0.7200,0.0042,0.3074,1.0000,0.9984,0.8144,0.9986,0.5439,0.5323,0.4711,0.8872,0.6841,0.8272,0.9964,0.9960,0.7551,0.9992,0.6096,0.6607,0.3942,0.6508,0.0023,0.3070,1.0000,1.0000,0.8300,0.9978,0.5685,0.0000
No Normalization,0.9978,0.7200,0.9957,0.9955,0.0244,0.0016,0.8144,0.6792,0.5439,0.2633,0.9060,0.8872,0.9545,0.9129,0.1116,0.0920,0.7551,0.4241,0.6096,0.2478,0.9994,0.6508,0.9950,0.9952,0.0284,0.0004,0.8300,0.7320,0.5685,0.2638
STL-10,0.6709,0.7200,0.7408,0.6673,0.5964,0.3532,0.8144,0.8082,0.5439,0.4312,0.6944,0.8872,0.7792,0.6951,0.4264,0.3904,0.7551,0.7658,0.6096,0.4354,0.6279,0.6508,0.6815,0.6366,0.7932,0.3856,0.8300,0.7787,0.5685,0.4299
CIFAR100,0.7563,0.7200,0.8297,0.7897,0.4728,0.2320,0.8144,0.7801,0.5439,0.4161,0.7428,0.8872,0.8304,0.7469,0.3500,0.3072,0.7551,0.7066,0.6096,0.4091,0.7267,0.6508,0.7784,0.7615,0.7036,0.2448,0.8300,0.7558,0.5685,0.4178
SVHN,0.9100,0.7200,0.9394,0.9240,0.2300,0.0712,0.8144,0.7475,0.5439,0.3644,0.8411,0.8872,0.9171,0.8659,0.2036,0.1676,0.7551,0.5954,0.6096,0.3506,0.8984,0.6508,0.9107,0.9029,0.3960,0.0736,0.8300,0.7239,0.5685,0.3653
Stanford Dogs,0.7417,0.7200,0.8159,0.7692,0.5096,0.2508,0.8144,0.7814,0.5439,0.4270,0.7379,0.8872,0.8264,0.7442,0.3512,0.3152,0.7551,0.7198,0.6096,0.4220,0.7034,0.6508,0.7548,0.7374,0.7776,0.2744,0.8300,0.7528,0.5685,0.4263
Fake CIFAR-10,0.5782,0.7200,0.6040,0.5344,0.7388,0.5252,0.8144,0.8401,0.5439,0.4516,0.6183,0.8872,0.6968,0.6328,0.5792,0.5476,0.7551,0.8153,0.6096,0.4623,0.5382,0.6508,0.5521,0.5123,0.8780,0.5584,0.8300,0.8193,0.5685,0.4487
AFHQ Dogs,0.6752,0.7200,0.7539,0.7169,0.6332,0.3464,0.8144,0.7862,0.5439,0.4499,0.7010,0.8872,0.7873,0.7113,0.4272,0.3784,0.7551,0.7504,0.6096,0.4544,0.6260,0.6508,0.6872,0.6853,0.8560,0.3888,0.8300,0.7522,0.5685,0.4482
AFHQ Cats,0.6737,0.7200,0.7503,0.7100,0.6188,0.3488,0.8144,0.7909,0.5439,0.4438,0.6905,0.8872,0.7752,0.6974,0.4356,0.3976,0.7551,0.7465,0.6096,0.4450,0.6323,0.6508,0.6954,0.6845,0.8156,0.3784,0.8300,0.7641,0.5685,0.4436
